[2, 0, 3, 4, 1, 5, 7, 8, 9, 6, 15, 11, 13, 10, 14, 12]
[5, 1, 2, 3, 0, 6, 7, 4, 9, 10, 11, 8, 13, 14, 15, 12]
[1, 3, 7, 4, 5, 2, 11, 8, 9, 6, 14, 12, 13, 10, 0, 15]
[1, 6, 2, 3, 9, 5, 7, 4, 13, 10, 11, 8, 0, 14, 15, 12]
[1, 2, 3, 0, 5, 6, 7, 4, 9, 14, 10, 8, 13, 15, 12, 11]
[1, 0, 2, 3, 5, 6, 8, 4, 9, 11, 7, 12, 13, 10, 14, 15]
[2, 0, 3, 4, 1, 5, 7, 8, 10, 6, 11, 12, 9, 13, 14, 15]
[1, 2, 3, 4, 5, 6, 11, 7, 13, 9, 15, 8, 0, 10, 14, 12]
[1, 2, 3, 4, 5, 6, 7, 8, 14, 13, 10, 12, 0, 9, 11, 15]
[1, 3, 4, 7, 5, 2, 0, 6, 9, 10, 11, 8, 13, 14, 15, 12]
[1, 2, 7, 3, 5, 10, 6, 4, 9, 14, 11, 8, 0, 13, 15, 12]
[1, 2, 7, 3, 5, 6, 4, 8, 9, 10, 11, 12, 13, 14, 0, 15]
[1, 2, 3, 4, 5, 10, 6, 8, 9, 14, 7, 11, 0, 13, 15, 12]
[1, 2, 3, 4, 5, 10, 6, 7, 9, 11, 8, 12, 13, 14, 0, 15]
[1, 7, 2, 4, 0, 5, 3, 8, 9, 6, 11, 12, 13, 10, 14, 15]
[1, 2, 3, 4, 0, 5, 7, 8, 10, 6, 11, 12, 9, 13, 14, 15]
[5, 1, 2, 3, 9, 6, 7, 4, 10, 0, 11, 8, 13, 14, 15, 12]
[1, 2, 3, 4, 9, 5, 6, 8, 10, 7, 11, 12, 13, 14, 0, 15]
[2, 3, 4, 0, 1, 5, 6, 7, 9, 10, 11, 8, 13, 14, 15, 12]
[1, 2, 7, 3, 5, 6, 0, 4, 9, 10, 12, 8, 13, 14, 11, 15]
[5, 1, 2, 3, 6, 10, 7, 4, 9, 0, 11, 8, 13, 14, 15, 12]
[1, 6, 3, 0, 5, 7, 2, 4, 9, 10, 11, 8, 13, 14, 15, 12]
[1, 2, 4, 8, 5, 6, 0, 11, 9, 10, 3, 7, 13, 14, 15, 12]
[2, 6, 3, 4, 1, 7, 0, 8, 5, 10, 11, 12, 9, 13, 14, 15]
[1, 2, 4, 8, 5, 6, 7, 3, 9, 10, 15, 11, 13, 14, 0, 12]
[1, 2, 3, 4, 5, 10, 6, 7, 9, 11, 15, 0, 13, 14, 12, 8]
[1, 2, 3, 4, 0, 6, 7, 8, 5, 13, 11, 12, 10, 9, 14, 15]
[1, 2, 3, 4, 5, 6, 7, 8, 10, 11, 12, 0, 9, 13, 14, 15]
[2, 6, 3, 4, 0, 1, 7, 8, 5, 9, 10, 11, 13, 14, 15, 12]
[1, 6, 2, 4, 9, 5, 3, 7, 10, 0, 11, 8, 13, 14, 15, 12]
[1, 3, 7, 4, 0, 5, 2, 8, 9, 6, 11, 12, 13, 10, 14, 15]
[1, 2, 7, 3, 5, 6, 11, 4, 9, 0, 10, 8, 13, 14, 15, 12]
[1, 2, 3, 4, 6, 9, 7, 8, 5, 0, 15, 11, 13, 10, 14, 12]
[1, 2, 3, 4, 5, 6, 8, 15, 9, 10, 7, 0, 13, 14, 12, 11]
[1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 12, 15, 0, 13, 14, 11]
[1, 2, 3, 4, 5, 6, 7, 8, 13, 11, 14, 12, 10, 9, 0, 15]
[1, 2, 4, 8, 5, 6, 3, 11, 9, 10, 15, 7, 13, 14, 0, 12]
[1, 2, 3, 4, 5, 6, 7, 8, 14, 0, 10, 11, 9, 13, 15, 12]
[1, 2, 3, 4, 5, 7, 10, 8, 9, 6, 15, 0, 13, 14, 12, 11]
[1, 2, 3, 4, 5, 6, 0, 8, 9, 11, 7, 15, 13, 10, 12, 14]
[1, 6, 2, 3, 9, 5, 7, 4, 10, 0, 11, 8, 13, 14, 15, 12]
[1, 2, 3, 4, 5, 6, 0, 7, 9, 11, 14, 8, 13, 10, 15, 12]
[2, 3, 7, 4, 1, 6, 0, 8, 5, 9, 10, 11, 13, 14, 15, 12]
[1, 2, 3, 4, 5, 6, 7, 8, 10, 0, 14, 12, 9, 11, 13, 15]
[1, 2, 7, 3, 5, 6, 0, 4, 9, 10, 15, 8, 13, 14, 12, 11]
[1, 0, 2, 4, 5, 10, 3, 8, 9, 7, 6, 11, 13, 14, 15, 12]
[1, 3, 7, 4, 5, 2, 11, 8, 9, 6, 12, 0, 13, 10, 14, 15]
[1, 2, 3, 4, 9, 5, 6, 7, 10, 11, 8, 0, 13, 14, 15, 12]
[1, 2, 3, 0, 5, 6, 11, 4, 9, 10, 8, 7, 13, 14, 15, 12]
[1, 2, 3, 4, 5, 6, 8, 12, 9, 10, 15, 0, 13, 14, 7, 11]
[2, 0, 3, 4, 1, 6, 7, 8, 5, 14, 10, 11, 9, 13, 15, 12]
[1, 2, 3, 4, 5, 7, 0, 11, 9, 6, 8, 10, 13, 14, 15, 12]
[1, 2, 3, 4, 5, 6, 7, 8, 13, 9, 10, 0, 14, 11, 15, 12]
[1, 2, 3, 4, 5, 6, 0, 8, 9, 14, 7, 12, 13, 11, 10, 15]
